0333357V,92,0,6,38,43,5,0
0331501C,22,0,13,7,2,0,0
0331766R,12,0,7,5,0,0,0
0331766R,45,0,20,15,10,0,0
0331766R,285,0,121,111,46,6,1
0331766R,49,0,5,13,22,9,0
0331766R,93,0,41,38,10,3,1
0331766R,84,0,18,44,18,4,0
0331766R,40,0,20,13,6,1,0
0331766R,27,0,10,13,4,0,0
0331766R,85,0,30,40,14,1,0
0331863W,17,0,9,6,2,0,0
0332081H,21,0,10,9,2,0,0
0332192D,67,0,19,19,21,8,0
0332282B,13,0,7,4,2,0,0
0332282B,8,0,4,4,0,0,0
0332282B,3,0,3,0,0,0,0
0332468D,19,0,5,11,3,0,0
0332722E,23,0,17,6,0,0,0
0332744D,23,0,9,9,4,1,0
0332758U,11,0,0,1,5,5,0
0333109A,10,0,0,0,0,10,0
0340039H,18,0,6,10,2,0,0
0340040J,37,0,3,13,15,6,0
0340040J,23,0,11,9,2,1,0
0340042L,11,0,2,6,3,0,0
0340076Y,11,0,3,6,2,0,0
0340838B,69,0,1,27,34,6,1
0340838B,25,0,3,12,9,1,0
0340991T,11,0,4,5,2,0,0
0342321N,204,0,42,92,52,18,0
0342321N,465,0,168,197,86,12,1
0342023P,59,0,38,14,6,1,0
0341089Z,176,0,38,89,38,10,1
0341089Z,46,0,20,15,7,3,0
0341089Z,7,0,5,2,0,0,0
0341089Z,29,0,14,9,4,2,0
0341089Z,3,0,2,0,1,0,0
0341089Z,50,0,29,13,8,0,0
0341470N,13,0,6,4,3,0,0
0341736C,42,0,10,19,11,2,0
0341921D,21,0,10,9,2,0,0
0342023P,25,0,10,12,2,1,0
0350028R,22,0,12,7,2,1,0
0350028R,28,0,10,16,2,0,0
0350028R,26,0,11,15,0,0,0
0350028R,23,0,6,11,4,2,0
0350029S,17,0,9,7,1,0,0
0350077U,82,0,0,0,19,55,8
0350769W,11,0,4,4,3,0,0
0350791V,4,0,1,3,0,0,0
0350791V,3,0,1,1,1,0,0
0350793X,10,0,5,4,1,0,0
0350793X,11,0,2,1,6,2,0
0350797B,26,0,7,17,2,0,0
0350797B,27,0,13,9,5,0,0
0350918H,9,0,1,4,4,0,0
0350936C,20,0,0,0,1,17,2
0350937D,66,0,24,24,13,5,0
0350937D,192,0,95,72,18,7,0
0350937D,281,0,51,139,76,14,1
0350937D,272,0,93,110,63,6,0
0351947B,7,0,3,2,2,0,0
0383546Y,7,0,2,2,2,1,0
0352512R,41,0,18,19,4,0,0
0360017Y,15,0,5,5,4,1,0
0360043B,6,0,4,1,1,0,0
0360043B,10,0,2,5,2,0,0
0360768P,58,0,23,26,8,1,0
0360768P,31,0,17,7,7,0,0
0370037P,24,0,10,10,4,0,0
0370038R,10,0,3,4,3,0,0
0370749N,6,0,4,2,0,0,0
0370749N,13,0,4,7,2,0,0
0370781Y,15,0,7,5,3,0,0
0370781Y,15,0,9,5,1,0,0
0370800U,173,0,75,50,38,10,0
0370800U,193,0,119,42,27,4,1
0370800U,531,0,143,185,162,37,4
0371532P,21,0,5,11,3,2,0
0380008C,11,0,6,3,2,0,0
0380018N,14,0,14,0,0,0,0
0380027Y,138,0,0,1,17,105,15
0380034F,22,0,9,7,5,1,0
0381775Y,14,0,0,5,8,1,0
0380035G,40,0,21,12,5,2,0
0380141X,112,0,7,30,57,18,0
0381516S,74,0,2,26,33,13,0
0381516S,69,0,19,30,18,2,0
0381516T,19,0,1,7,10,1,0
0381603L,8,0,3,1,3,1,0
0381603L,17,0,6,3,8,0,0
0381666E,6,0,2,3,0,1,0
0381775Y,118,0,26,56,33,3,0
0381775Y,18,0,7,5,5,1,0
0383546Y,29,0,16,8,5,0,0
0383546Y,11,0,4,5,2,0,0
0383546Y,12,0,3,6,2,1,0
0383208F,3,0,0,3,0,0,0
0383208F,9,0,4,3,1,1,0
0382099A,15,0,7,4,3,1,0
0382440W,9,0,1,3,3,2,0
0382440W,8,0,1,2,4,1,0
0382780R,18,0,7,5,6,0,0
0450049J,136,0,0,16,64,52,4
0382920T,37,0,18,16,3,0,0
0383121L,73,0,31,31,9,2,0
0390012B,27,0,15,6,5,1,0
0390027T,10,0,4,4,1,1,0
0390027T,13,0,6,3,4,0,0
0390812W,11,0,5,4,1,1,0
0390812W,8,0,5,2,1,0,0
0391146J,18,0,10,5,3,0,0
0400002K,7,0,2,0,5,0,0
0400007R,14,0,6,6,2,0,0
